iter	Passed	Remaining
796	1157	294
797	1158	293
798	1159	291
799	1161	290
800	1162	288
801	1163	287
802	1164	285
803	1165	284
804	1167	282
805	1168	281
806	1169	279
807	1170	278
808	1171	276
809	1172	275
810	1174	273
811	1175	272
812	1176	270
813	1178	269
814	1179	267
815	1180	266
816	1182	264
817	1184	263
818	1185	261
819	1186	260
820	1187	258
821	1188	257
822	1189	255
823	1191	254
824	1192	252
825	1193	251
826	1194	249
827	1196	248
828	1197	247
829	1198	245
830	1199	244
831	1200	242
832	1202	241
833	1203	239
834	1204	238
835	1205	236
836	1206	235
837	1208	233
838	1209	232
839	1210	230
840	1211	229
841	1212	227
842	1214	226
843	1215	224
844	1216	223
845	1217	221
846	1218	220
847	1220	218
848	1221	217
849	1222	215
850	1223	214
851	1224	212
852	1226	211
853	1227	209
854	1228	208
855	1230	206
856	1231	205
857	1232	203
858	1233	202
859	1234	201
860	1235	199
861	1237	198
862	1238	196
863	1239	195
864	1240	193
865	1241	192
866	1242	190
867	1244	189
868	1245	187
869	1246	186
870	1247	184
871	1248	183
872	1249	181
873	1250	180
874	1251	178
875	1253	177
876	1254	175
877	1255	174
878	1256	172
879	1257	171
880	1258	170
881	1259	168
882	1260	167
883	1261	165
884	1263	164
885	1264	162
886	1265	161
887	1266	159
888	1267	158
889	1268	156
890	1269	155
891	1270	153
892	1271	152
893	1272	150
894	1274	149
895	1275	148
896	1276	146
897	1277	145
898	1278	143
899	1279	142
900	1280	140
901	1281	139
902	1282	137
903	1284	136
904	1285	134
905	1286	133
906	1287	132
907	1289	130
908	1290	129
909	1291	127
910	1292	126
911	1293	124
912	1294	123
913	1296	121
914	1297	120
915	1298	119
916	1299	117
917	1300	116
918	1301	114
919	1302	113
920	1303	111
921	1305	110
922	1306	108
923	1307	107
924	1308	106
925	1309	104
926	1310	103
927	1311	101
928	1313	100
929	1314	98
930	1315	97
931	1316	96
932	1318	94
933	1319	93
934	1320	91
935	1321	90
936	1323	88
937	1324	87
938	1325	86
939	1326	84
940	1328	83
941	1329	81
942	1330	80
943	1331	78
944	1332	77
945	1333	76
946	1335	74
947	1336	73
948	1337	71
949	1338	70
950	1339	69
951	1340	67
952	1341	66
953	1343	64
954	1344	63
955	1345	61
956	1346	60
957	1347	59
958	1349	57
959	1350	56
960	1351	54
961	1352	53
962	1353	51
963	1354	50
964	1355	49
965	1357	47
966	1358	46
967	1359	44
968	1360	43
969	1361	42
970	1362	40
971	1364	39
972	1365	37
973	1366	36
974	1367	35
975	1368	33
976	1369	32
977	1370	30
978	1371	29
979	1373	28
980	1374	26
981	1375	25
982	1376	23
983	1377	22
984	1378	20
985	1380	19
986	1381	18
987	1382	16
988	1383	15
989	1384	13
990	1385	12
991	1386	11
992	1387	9
993	1389	8
994	1390	6
995	1391	5
996	1392	4
997	1393	2
998	1394	1
999	1395	0
